key_object,word,object_type,object_vocab,attribute,color,animal
baby,baby,human,minor,young,,
bird,bird,animal,omnivore,2legs:small:city,,omnivore
bicycle,bicycle,vehicle,vehicle,2wheels:road,emerald,
boat,boat,vehicle,vehicle,water,crimson,
bucket,bucket,inanimate,inanimate,blue:small,azure,
bus,bus,vehicle,vehicle:automobile:public,4wheels:road,azure,
car,car,vehicle,vehicle:automobile,4wheels:road,mauve,
castle,castle,inanimate,inanimate,yellow,amber,
cat,cat,animal,mammal:omnivore,4legs:small:city,amber,mammal:omnivore
cloud,cloud,inanimate,inanimate,large,,
coconut,coconut,inanimate,inanimate,small,,
deer,deer,animal,mammal:herbivore,4legs:large,,mammal:herbivore
digging,digging,action,hobby,,emerald,
dog,dog,animal,mammal:omnivore,4legs:small:city,,mammal:omnivore
dolphin,dolphin,animal,mammal:carnivore,water:large,emerald,mammal:carnivore
door,door,inanimate,inanimate,yellow,amber,
dress,dress,inanimate,inanimate:apparel,yellow,amber,
duck,duck,animal,omnivore,2legs:small:water,emerald,omnivore
eating,eating,action,,,emerald,
father,father,human,households:relatives,,,
fish,fish,animal,omnivore,water:small,azure,omnivore
fishing,fishing,action,hobby,,,
flower,flower,inanimate,inanimate,purple:green:small,mauve,
forest,forest,landscape,landscape,,emerald,
frog,frog,animal,carnivore:omnivore,4legs:small:water,emerald,carnivore:omnivore
giraffe,giraffe,animal,mammal:herbivore,4legs:large,amber,mammal:herbivore
goat,goat,animal,mammal:herbivore,4legs:farm:large,,mammal:herbivore
grandma,grandma,human,relatives,,,
grandpa,grandpa,human,relatives,,,
hat,hat,inanimate,inanimate:apparel,yellow,amber,
horse,horse,animal,mammal:herbivore,4legs:farm:large,,mammal:herbivore
jumping,jumping,action,cardio,,,
lion,lion,animal,mammal:carnivore,4legs:large,amber,mammal:carnivore
mailbox,mailbox,inanimate,inanimate,blue:large,azure,
mother,mother,human,households:relatives,,,
mountain,mountain,landscape,landscape,,mauve,
mouse,mouse,animal,mammal:omnivore,4legs:small:city,,mammal:omnivore
pants,pants,inanimate,inanimate:apparel,blue,azure,
plane,plane,vehicle,vehicle,fly,crimson,
rabbit,rabbit,animal,mammal:herbivore,4legs:farm:small,,mammal:herbivore
rooster,rooster,animal,omnivore,2legs:farm:small,,omnivore
running,running,action,cardio,,mauve,
seal,seal,animal,mammal:carnivore,water:large,,mammal:carnivore
seashell,seashell,inanimate,inanimate,purple,mauve,
sheep,sheep,animal,mammal:herbivore,4legs:large:farm,,mammal:herbivore
shirt,shirt,inanimate,inanimate:apparel,red,crimson,
sun,sun,inanimate,inanimate,large,amber,
tractor,tractor,vehicle,vehicle:automobile,4wheels:road,crimson,
train,train,vehicle,vehicle:automobile:public,,amber,
waving,waving,action,hobby,,emerald,
window,window,inanimate,inanimate,purple,mauve,
