frame_number, elapsed_time (sec), localtime,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
1,2.2649765014648438e-05,2018-1-20-12-13-9-5-20-0,0.0018290159059688449,7.341310993069783e-05,0.42834505438804626,0.1928660273551941,0.0014158731792122126,0.12351655215024948,15.049860954284668,7.361955165863037,-29.849258422851562,98.5322265625,0.0004268912598490715,0.00019008666276931763,0.0003247156273573637,2.651858892477321e-07,99.13261413574219,4.1726702875166666e-06,0.35528838634490967,7.077820191625506e-05,0.004816107451915741,0.006892371457070112,0.0010365903144702315,2.694606170139391e-11,0.0093430420383811,0.0014158731792122126,0.02787606231868267,2.000867243623361e-05,0.3141970932483673,3.9892300264909863e-05,1.3616911019198596e-05,0.03616529703140259,52.58552932739258,0.9668127298355103,25.236526489257812,-9.764877319335938
2,0.3581674098968506,2018-1-20-12-13-10-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.6680521965026855,2018-1-20-12-13-10-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9498918056488037,2018-1-20-12-13-10-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2230823040008545,2018-1-20-12-13-10-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.4916050434112549,2018-1-20-12-13-11-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.8633029460906982,2018-1-20-12-13-11-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.283750057220459,2018-1-20-12-13-11-5-20-0,0.0018312394386157393,0.01653176173567772,0.005135526414960623,98.34074401855469,0.006502116098999977,0.008843244053423405,0.005455747712403536,0.3389459550380707,-26.95843505859375,63.82405471801758,4.8218833370583525e-08,0.00016028661048039794,4.082290172576904,4.044866525054758e-11,5.269353866577148,3.920040125837687e-10,19.72772979736328,6.7449116706848145,60.79953384399414,14.747987747192383,3.759059836738743e-06,0.006502116098999977,97.24757385253906,0.002527444390580058,64.07550048828125,0.04555446654558182,83.66526794433594,1.8090247522195568e-07,31.021286010742188,0.00027751800371333957,42.28872299194336,19.16132164001465,13.85283088684082,1.4112426042556763
9,2.659409284591675,2018-1-20-12-13-12-5-20-0,0.0018368660239502788,0.004565240815281868,0.0006857285625301301,96.60700225830078,0.11483418941497803,0.005068042315542698,0.004899649880826473,0.20945100486278534,-26.697525024414062,90.57311248779297,0.003559991717338562,8.20745754026575e-06,0.05655664578080177,98.3245620727539,0.02460099384188652,6.068825442184789e-10,0.2627563178539276,0.730042040348053,88.5349349975586,3.3202064037323,0.0003179398481734097,0.024771373718976974,90.35980224609375,0.11483418941497803,27.454307556152344,0.04756593331694603,96.896484375,3.8545633174180693e-07,0.04446453973650932,0.04505399242043495,45.29224395751953,10.687047004699707,12.06344985961914,-3.0523202419281006
10,3.049135684967041,2018-1-20-12-13-12-5-20-0,0.001848827232606709,0.134836807847023,0.0004127688007429242,94.3125991821289,0.05923428758978844,0.09639009088277817,0.00023016190971247852,1.8818763494491577,-30.12769317626953,84.92659759521484,2.400632183707785e-06,0.0009335040813311934,5.1189188957214355,5.2517425963571895e-09,0.06152220442891121,7.42302974643394e-09,0.005393994972109795,0.005688034929335117,95.41751861572266,91.74927520751953,1.5749832527944818e-05,0.05923428758978844,85.29696655273438,0.011878049932420254,33.17750549316406,0.00126326410099864,63.5215950012207,7.423677016049623e-05,96.33807373046875,0.0021915000397711992,43.79292297363281,13.355721473693848,-3.651383638381958,-6.244394779205322
