header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522344716,529465436,,2018-05-19 16:06:10.726674,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522344722,638015031,,2018-05-19 16:06:16.833427,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522344733,503589868,0:00:08.109928,2018-05-19 16:06:27.698212,2018-03-29 13:32:13.503009,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
4,1522344733,850295543,0:00:08.456797,2018-05-19 16:06:28.045077,2018-03-29 13:32:13.849875,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,LOOK_CENTER,,,,,0,False,,,,,,
6,1522344734,356836318,0:00:08.963658,2018-05-19 16:06:28.551994,2018-03-29 13:32:14.356775,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,,,,,,
7,1522344735,935653924,0:00:10.542399,2018-05-19 16:06:30.130699,2018-03-29 13:32:15.935492,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1522344736,393576622,0:00:11.000402,2018-05-19 16:06:30.588704,2018-03-29 13:32:16.393494,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
9,1522344738,609052419,0:00:13.215458,2018-05-19 16:06:32.803825,2018-03-29 13:32:18.608614,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,,,0,False,,,,,,
10,1522344738,650095224,0:00:13.256885,2018-05-19 16:06:32.845177,2018-03-29 13:32:18.649972,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,True,False,False,False,
11,1522344738,760130167,0:00:13.367222,2018-05-19 16:06:32.955511,2018-03-29 13:32:18.760307,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,False,False,False,False,
12,1522344739,773254394,0:00:14.379757,2018-05-19 16:06:33.974193,2018-03-29 13:32:19.778946,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,running,0,False,,,,,,
14,1522344740,275069713,0:00:14.882535,2018-05-19 16:06:34.471019,2018-03-29 13:32:20.275803,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,,0,False,,,,,,
15,1522344745,428790569,0:00:20.035237,2018-05-19 16:06:39.623554,2018-03-29 13:32:25.428342,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
16,1522344745,630161762,0:00:20.236477,2018-05-19 16:06:39.824769,2018-03-29 13:32:25.629565,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
17,1522344745,800510883,0:00:20.408585,2018-05-19 16:06:39.996890,2018-03-29 13:32:25.801680,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,running,0,False,,,,,,
18,1522344746,301701307,0:00:20.919922,2018-05-19 16:06:40.508225,2018-03-29 13:32:26.313017,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,None,,0,0,0,0,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_CUSTOM_SPEECH,,,False,,0,False,,,,,,
21,1522344751,493324756,0:00:26.100964,2018-05-19 16:06:45.689297,2018-03-29 13:32:31.494044,1,vehicle,2018-03-29 13:32:05.393380,None,,0,childTURN,novice,2018-03-29 13:32:05.393277,2018-03-29 13:32:31.493291,0:00:26.100014,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
22,1522344751,495050907,0:00:26.105619,2018-05-19 16:06:45.693895,2018-03-29 13:32:31.498693,1,vehicle,2018-03-29 13:32:05.393380,None,,1,robotTURN,novice,2018-03-29 13:32:31.494419,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
23,1522344752,97643375,0:00:26.704065,2018-05-19 16:06:46.292351,2018-03-29 13:32:32.097149,1,vehicle,2018-03-29 13:32:05.393380,None,,1,robotTURN,NOVICE,2018-03-29 13:32:31.494419,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,ROBOT_SILENT_EXCITED,,,False,,0,False,,,,,,
24,1522344755,100547075,0:00:29.716752,2018-05-19 16:06:49.305034,2018-03-29 13:32:35.109830,1,vehicle,2018-03-29 13:32:05.393380,None,,1,robotTURN,NOVICE,2018-03-29 13:32:31.494419,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,VIRTUALLY_EXPLORE,,False,,0,False,,,,,,
